date,mileage,gallons,price
1/3/18,165459,13.992,39.02
1/17/18,165699,13.924,37.02
1/24/18,165849,9.75,25.73
1/30/18,166098,13.519,34.73
2/6/18,166332,13.243,35.08
2/12/18,166567,13.172,34.37
2/26/18,166768,13.127,34.51
3/7/18,166976,12.633,32.71
3/16/18,167165,11.612,29.37
3/20/18,167368,11.23,28.85
3/28/18,167564,11.905,33.92
3/31/18,167785,11.8,32.56
4/6/18,168020,12.668,35.83
4/10/18,168192,9.349,28.51
4/15/18,168386,11.36,33.84
4/25/18,168616,14.034,44.75
5/2/18,168843,13.399,42.73
5/5/18,169023,9.504,30.21
5/12/18,169273,13.045,42.38
5/17/18,169527,13.229,43.76
5/22/18,169801,14.047,45.5
6/1/18,170048,13.398,43.66
6/4/18,170316,12.842,41.47
6/7/18,170583,13.884,45.8
6/8/18,170723,6.409,20.44
6/14/18,170974,13.678,44.44
6/23/18,171210,13.071,42.86
6/29/18,171450,12.462,40.61
7/4/18,171704,12.948,42.46
7/8/18,171974,13.372,43.58
7/21/18,172203,13.638,43.76
7/28/18,172351,8.177,27.79
7/28/18,172560,10.618,32.91
7/31/18,172731,8.457,26.63
8/3/18,172848,5.526,17.57
8/3/18,173036,8.282,24.34
8/5/18,173315,13.031,41.95
8/17/18,173532,12.791,44.12
8/17/18,173752,10.422,36.99
8/19/18,173881,7.145,23.07
8/19/18,174124,14.032,46.29
8/29/18,174345,13.331,43.45
9/13/18,174550,13.564,43.8
9/26/18,174773,13.866,43.53
10/5/18,174960,12.059,37.61
10/15/18,175170,12.86,39.34
10/26/18,175398,13.284,41.17
11/10/18,175594,13.535,41.27
11/19/18,175821,13.908,43.1
12/13/18,176008,13.717,38.39
12/24/18,176223,12.449,33.48
1/12/19,176427,13.185,36.9
2019-01-27T00:21:09.000Z,176635,13.255,32.46
2019-02-15T00:38:17.000Z,176816,13.892,35.55
2019-02-25T03:29:51.000Z,176966,10.362,21.65
2019-03-20T21:50:05.000Z,177180,13.721,36.62
2019-03-24T23:13:22.000Z,177374,10.242,23.75
2019-04-17T03:06:44.000Z,177598,13.839,38.74
2019-05-12T00:02:14.000Z,177796,13.365,43.42
2019-06-04T03:34:57.000Z,178021,14.132,45.91
2019-06-12T04:02:09.000Z,178266,13.708,47.28
2019-07-05T18:21:55.000Z,178474,9.82,31.91
2019-07-18T04:26:02.000Z,178618,11.58,37.74
2019-08-09T21:19:06.000Z,178844,13.166,37.9
2019-09-07T15:40:53.000Z,179045,7.203,20.31
2019-09-15T18:30:56.000Z,179120,9.082,24.97
2019-10-07T23:20:14.000Z,179337,13.429,38.53
